Brand,Owner,Ownership Type
Crispy Rice,Nature's Path,Founder Family Owned
Keto Organic Cereal,Nature's Path,Founder Family Owned
Magic Spoon Cereals,Magic Spoon,Founder Owned
Forager Project Cereals,Forager Project,Founder Owned
Catalina Crunch Cereals,Catalina Crunch,Founder Owned
High Key Cereals,High Key Snacks,Founder Owned
Ezekiel 4:9 Cereal,Food For Life,Founder Family Owned
Erin Baker's ,Erin Baker's ,Founder Family Owned
Lays,PepsiCo,Megacorp
Ruffles,PepsiCo,Megacorp
Doritos,PepsiCo,Megacorp
Tostitos,PepsiCo,Megacorp
Fritos,PepsiCo,Megacorp
Cheetos,PepsiCo,Megacorp
Mission Chips,Gruma Corp.,Megacorp
Dot's Pretzels,Hershey's,Megacorp
Snyder's Pretzels,Campbells Soup,Megacorp
Tim's Chips,Utz Brands,Megacorp
Hawaiian Brand Chips,Utz Brands,Megacorp
Takis,Grupo Bimbo,Megacorp
Calidad,Gruma Corp.,Megacorp
South of the Border Chips,Utz Brands,Megacorp
Sun Chips,PepsiCo,Megacorp
Smartfood Popcorn,PepsiCo,Megacorp
Glutino,Tyson Foods,Megacorp
Juanitas,Dominguez Family Foods,Family Owned
Juantonio's,Dominguez Family Foods,Family Owned
Cretor's Popcorn,C. Cretors & Co,Family Owned
Unique Snacks,Unique Snacks,Family Owned
One Mighty Mill,One Mighty Mill,Founder Owned
Gerber,Nestle,Megacorp
Beach Nut,Oetker Group,Family megacorp
Earth's Best,The Hain Celestial Group,Megacorp
Happy Baby,Danone,Megacorp
Mama Bear Organics,Amazon,Megacorp
Parent's Choice,Walmart,Megacorp
Sprout Organics,Neptune Wellness Solutions,Megacorp
Plum Organics,Sun-Maid,Co-op
Cerebelly ,Dr. Teresa Pursner & Nick Langan,Female founder owned
Serenity,Serenity & Joe Carr,Family owned
Once Upon A Farm,Jennifer Garner & John Foraker,Founder owned
Tiny Organics,"Sofia Laurell, Betsy Fore, Carolyn O'hare",Female founder owned
Amara,Jess Sturzenegger,Female founder owned
Yumi,Angela Sutherland & Evelyn Rusli,Female founder owned
Little Spoon,"Lisa Barnett, Angela Vranich, Michelle Muller, and Ben Lewis",Founder owned
Baby gourmet,Jennifer Carlson and Jill Vos,Female founder owned
Nidio,Nestle,
Pediasure,Abbott Labs,
Nutramigen,Reckitt Benckiser Group,
Similac,Abbott Labs,
Enfamil,Reckitt Benckiser Group,
Gerber Good Start,Gerber,
Kendamil,Kendal Nutricare,
Bobbie,Laura Modi & Sarah Hardy,
Ragu,Mizkan Group,Mega Corporation
Bertolli,Mizkan Group,Mega Corporation
Prego,Campbell's Soup Company,Mega Corporation
Raos,Campbell's Soup Company,Mega Corporation
Filippo Berio,Bright Food,Mega Corporation
Classico,Kraft-Heinz,Mega Corporation
The Silver Palate,Peter Harris,Privately Owned
Organiceville,Employee Owned,Employee Owned
Mezzetta,Jeff Mezzetta & Family,Family Owned
Newman's Own,The Newman's Own Foundation,Private Non-Profit
Nature Made,Otsuka Pharmaceutical Co.,Mega Corporation
One A Day,Bayer,Mega Corporation
Centrum,Haleon,Mega Corporation
Olly Nutrition,Unilever,Mega Corporation
Vitafusion,Church & Dwight,Mega Corporation
Nature's Bounty,Nestle,Mega Corporation
Vicks,Procter & Gamble and Helen of Troy,Mega Corporation
Nature's Way,Schwabe Group,Mega Corporation
Emergen-C,Pfizer,Mega Corporation
Simple Truth,Kroger,Mega Corporation
Garden of Life,Nestle,Mega Corporation
Natrol,Aurobindo Pharma USA inc.,Mega Corporation
Country Life,Lion Equity Partners,Private Equity
Goli Nutrition,Michael Bitensky,Founder owned
Oregon's Wild Harvest,Randy Buresh and Pam Martin-Buresh,Family Owned
Famous Daves,MTY Food Group,Megacorporation
Steinfelds,Treehouse Foods,Megacorporation
Nalley,Conagra Brands,Megacorporation
Vlasic,Conagra Brands,Megacorporation
Mt Olive,Privately Owned,Privately Owned
Mezzetta,Mezzetta Family,Family owned
Napoleon,Magnano Family,Family owned
Folgers,J. M. Smucker ,Megacorp
Cafe Bustelo,J. M. Smucker ,Megacorp
McCafe,McDonald's ,Megacorp
Yuban,Kraft Heinz,Megacorp
Gevalia,Kraft Heinz,Megacorp
Great Value,Walmart,Megacorp
Starbucks,Starbucks,Megacorp
Peet's,JAB Holding Company,Megacorp
Tully's Coffee,JAB Holding Company,Megacorp
Donut Shop Coffee,JAB Holding Company,Megacorp
Green Mountain Coffee Roasters,JAB Holding Company,Megacorp
Tim Horton's,Restaurant Brands International,Megacorp
Gloria Jean's Coffees,Retail food group,Megacorp
Seattle's Best,Nestle,Megacorp
Eight O'Clock Coffee,Tata Group,Megacorp
Dunkin',Inspire Brands,Private Equity
Black Rifle Coffee Co.,Evan Hafer,Founder owned
Newman's Own,Paul Newman & Family,Founder family owned
Death Wish Coffe Co.,Michael Brown,Founder owned
Landmark Coffee,Landman Family,Family owned
M&M's,Mars,Megacorp
Twix,Mars,Megacorp
Snickers,Mars,Megacorp
Milky Way,Mars,Megacorp
Skittles,Mars,Megacorp
3 Musketeers,Mars,Megacorp
Dove,Mars,Megacorp
Reese's,The Hershey Company,Megacorp
Hershey's Kisses,The Hershey Company,Megacorp
Rolo,The Hershey Company,Megacorp
KitKat,The Hershey Company,Megacorp
Oh Henry!,The Hershey Company,Megacorp
Almond Joy,The Hershey Company,Megacorp
Heath,The Hershey Company,
York Peppermint,The Hershey Company,
Junior Mints,Tootsie Roll Industries,Megacorp
Tootsie Roll,Tootsie Roll Industries,Megacorp
Lindt,Chocoladefabriken Lindt & Sprüngli AG,Megacorp
Ghiradelli,Chocoladefabriken Lindt & Sprüngli AG,Megacorp
Pearson's Mint,Spell Capital Partners,Private Equity
Ferrero,Ferrero Group,Family owned
Butterfinger,Ferrero Group,Family owned
Kinder,Ferrero Group,Family owned
Smarties,The Dee Family,Family owned
Roca,Brown & Haley,Family Owned
Merci Chocolate,Axel Oberwelland,Family Owned
Wicked BOLD chocolate ,Deric Cahill & Brooklynn Cahill,Family founder owned!
Hershey's,The Hershey Company,Megacorp
Lindt,Chocoladefabriken Lindt & Sprüngli AG,Megacorp
Ghiradelli,Chocoladefabriken Lindt & Sprüngli AG,Megacorp
HU,Mondelez International,Megacorp
Bark Thins,The Hershey Company,Megacorp
Lily's,The Hershey Company,Megacorp
Alter Eco,Next World Evergreen,Private Equity
Bouchard,Charlie Investors,Private Equity
Endangered Species Chocolate,Wayne Zink & Randy Deer,Privately owned
Theo,American Licorice Company,Privately owned
Equal Exchange,Employee owned,Employee owned Co-op
Niagara Chocolates,Migros,Co-op
Ferrero,Ferrero Group,Family owned (ish?)
Nib Mor,Heather K. Terry & Private Equity backers,It's complicated
Unreal,The Bronner Family,Family owned
Tony's Chocolonely,Henk Jan Beltman,Founder owned
K'Ul,Paul Newman and Ari Lee-Newman,Founder owned
Chocolove,Timothy Moley,Founder owned
Chocolate Necesities,Kevin Buck,Founder owned
Magic All-one chocolate,The Bronner Family,Family owned
Beyond Good,Tim McCollum,Founder owned
Digiorno,Nestle,Megacorp
Stouffer's,Nestle,Megacorp
California Pizza Kitchen,Nestle,Megacorp
Tombstone,Nestle,Megacorp
Freschetta,Schwan's Consumer Brands,CJ CheilJedang
Red Barron,Schwan's Consumer Brands,CJ CheilJedang
Tony's,Schwan's Consumer Brands,CJ CheilJedang
Totinos,General Mills,Megacorp
Bellatoria,Bernatello's Foods,Ramsay Family
Roma,Bernatello's Foods,Ramsay Family
Wild Mikes,Piazza family,Family owned
Screamin Sicillian,Fallucca Family,Family owned
Caulipower,Gail Becker,Founder owned
Newman's Own,The Newman's Own Foundation,Private Non-Profit
Lucerne,Albertsons,Megacorp
Galbani,Lactalis,Megacorp (French)
Babybel,Unibel,Megacorp (French)
Tillamook,Co-op,Farmer's Cooperative
Organic Valley,Co-op,Farmer's Cooperative
Rumiano,Rumiano family,Family owned
Sargento,Gentine family,Family owned
Cacique,Cardenas family,Family owned
Organic Nuna,Jeff Lichtenstein,Family owned
Polly-O,Auricchio family (Bel Gioioso),Family owned
Frigo,Saputo family,Family owned
V8,Campbell's Soup,Megacorp
Mott's,JAB holding company,Megacorp
Dole,,Megacorp
Minute Maid,Coca-Cola,Megacorp
Jumex,La Costena,Megacorp
Kern's,La Costena,Megacorp
Clamato,JAB holding company,Megacorp
Hawaiian Punch,JAB holding company,Megacorp
Simple Truth,Kroger,Megacorp
Santa Cruz Organic,Smuckers,Megacorp
RW Knudsen,Smuckers,Megacorp
Calypso Lemonade,King juice company,Private Equity
Ocean Spray,Co-op,Farmer's Co-op
Welch's,Co-op,Farmer's Co-op
Sunkist,Co-op,Farmer's Co-op
Tree Top,Co-op,Farmer's Co-op
Martinelli's,Marinelli family,Family owned
Langer's,Langer family,Family owned
Body Armor,Coca-cola,Megacorp
Gatorade,Pepsico,Megacorp
Powerade,Coca-cola,Megacorp
Lipton,Pepsico/Unilever,Megacorp
Truleaf Tea,Pepsico,Megacorp
Peace Tea,Coca-cola,Megacorp
Gold Leaf Tea,Coca-cola,Megacorp
Propel,Pepsico,Megacorp
Lifewater,Pepsico,Megacorp
Smartwater,Coca-cola,Megacorp
Crystal Ice,Anheuser Busch,Megacorp
Yerbae,Juste went public,Megacorp
Vita Coco,sketchy,sketchy
Calypso Lemonade,King juice company,Private Equity
Guayaki,,B-corp
Cascade Ice,Mike Broadwell & Mark Christensen,Founder owned
Arizona Iced Tea,Don Voltagio,Founder owned
Hidden Valley,Clorox,Megacorp
Wishbone,Unilever,Megacorp
Kraft,Kraft-Heinz,Megacorp
California Pizza Kitchen,Nestle,Megacorp
Brianna's dressing,La Costena,Megacorp
Bernstein's dressing,Conagra Brands,Megacorp
Annie's homegrown,General Mills,Megacorp
Grey Pupon,Kraft-Heinz,Megacorp
French's,McCormick,Megacorp
Best foods mayo,Unilever,Megacorp
Miracel Whip,Kraft-Heinz,Megacorp
Heinz,Kraft-Heinz,Megacorp
Hunts,Conagra Brands,Megacorp
Stub's BBQ,McCormick,Megacorp
A1 Steak sauce,Kraft-Heinz,Megacorp
Lea & Perrins (worstechire sauce),Kraft-Heinz,Megacorp
Frank's Red Hot,McCormick,Megacorp
Walden's Farms dressing,HKW,Private Equity
Girard's dressing,HACO ,Private equity
Kinder BBQ sauce,Ignite,Private equity
Famous Dave's,MTY franchising,Private equity
Plochman's,HACO,Private equity
Chosen Foods,Butterfly Equity,Private equity
Louisiana Fish Fry,MidOcean,Private equity
Organicville,"Litehouse, Inc",Employee owned
Portlandia Foods,Jeff Bergadine & Michael Deal,Founder owned
Tabasco,,Family owned
Beaver mustard,Beaverton Foods,Family owned
Sweet Baby Ray's,Ken's Foods,Family owned
Sriracha,Huy Fong Foods,Family owned
Ken's dressing,Crowley & Hannah families,Family owned
Newman's Own,Newman family,Family owned
Starbucks,Starbucks,Megacorp
Monster,Monster Beverage Corp,Megacorp
Rein,Coca-Cola,Megacorp
NOS,Monster Beverage Corp,Megacorp
Celcius,Celcius holdings,Megacorp
Bang,Monster Beverage Corp,Megacorp
Rockstar,Pepsico,Megacorp
Ghost,Founders backed by Anheuser Busch,complicated
C4,Nutrabolt,Private Equity
Dunkin Donuts,Inspire Brands,Private Equity
Alani Nu,Congo Brands,Founder owned/Private equity backed
Red Bull,Mateschitz & Yoovidhya families,Family owned
Green Dragon,Unique Beverage Co,Founder owned
Hi-Brew Coffee,David Smith,Founder owned
Ryse,Noelle Deysel & Nic Stella,Founder owned
Talenti,Unilever,Megacorp
Haggen Das,General Mills,Megacorp
Ben & Jerry's,Unilever,Megacorp
Dreyer's,Nestle,Megacorp
Breyer's,Unilever,Megacorp
Baskin Robbins,Inspire Brands,Private Equity
Tillamook,Farmers Co-op,Co-op
Umpqua,Feldkamp family,Family owned
Twinnings,Associated British Foods,Megacorp
Celestial Seasonings,Hain Celestial Group,Megacorp
Tetley,Tata consumer products,Megacorp
Teavana,Starbucks,Megacorp
Lipton,CVC Capital Partners,Private Equity
Tazo,CVC Capital Partners,Private Equity
Yogi,"Drew Sutherland, David Cooper, and Glenn Baginski",Founder owned
Traditional Medicinals,Sadler Family,Family owned
Bigelow,Bigelow Family,Family owned
Luzianne,Reily Family,Family owned
Numi,Ahmed Rahim and Reem Hassani,Family owned
Healthy Teas,Lauren Culbreth,Founder owned
Cheez Its,Kellanova,Megacorporation
Club,Kellanova,Megacorporation
Zesta,Kellanova,Megacorporation
Town House,Kellanova,Megacorporation
Back to Nature,Barilla,Megacorporation
Wasa,Barilla,Megacorporation
Auntie Annie's,General Mills,Megacorporation
O Organics,Albertson's,Megacorporation
Signature Select,Albertson's,Megacorporation
Goldfish,Campbell's Soup Company,Megacorporation
Lance,Campbell's Soup Company,Megacorporation
Good Thins,Mondelez International,Megacorporation
Triscuit,Mondelez International,Megacorporation
Ritz,Mondelez International,Megacorporation
Premium Saltines,Nabisco,Megacorporation
Chicken in a Biscuit,Nabisco,Megacorporation
Sonoma Creamery,Atalanta Corporation,Megacorporation
Sigdal,United Bakeries Group,Megacorporation
Glutino,Tyson Foods,Megacorporation
Carrs,Pladis Global,Megacorporation
Mary's gone Crackers,Kameda Seika,Japanese Megacorp
Sailor Boy,George Weston Limited,Private Equity
From the Groud Up,Aaron Greenwald & Private Equity,Private equity
Sesmark,TH Foods Inc.,Private company
Cheddies,Pergola family,Family owned PE backed
Miltons,Bary Robbins & David Levy,"Founder owned, PE backed"
Blue Diamond,Farmer's co-op,Co-op
Patagonia Provisions,Yvon Chouinard,Founder owned
Simple Mills,Katlin Smith,Female founder owned
Alessi,Alessi family,Family owned
Partners,Harris family,Family owned
All American Crackers,Harris family,Family owned
Breton,Dare foods,Family owned
Lesley Stowe,Dare foods,Family owned
Vinta,Dare foods,Family owned
Edward & Sons,Joel Dee,Family owned
Boudin Sourdoug,Daniel Giraudo,Family owned
